,comuna,place_type
0,Peñalolén,city
1,La Reina,suburb
2,Viña del Mar,city
3,Lo Barnechea,city
4,Las Condes,city
5,Lo Barnechea,city
6,Ñuñoa,city
7,Ñuñoa,city
8,Vitacura,city
9,Lo Barnechea,city
10,Las Condes,city
11,Providencia,city
12,Las Condes,city
13,Lo Barnechea,city
14,Lo Barnechea,city
15,Las Condes,city
16,Las Condes,city
17,Ñuñoa,city
18,Providencia,city
19,Santiago,city
20,Macul,city
21,Las Condes,city
22,Las Condes,city
23,Providencia,city
24,Lo Barnechea,city
25,Concepción,city
26,Peñalolén,city
27,Las Condes,city
28,Santiago,city
29,Colina,city
30,Lo Barnechea,city
31,Colina,city
32,Las Condes,city
33,Colina,city
34,Las Condes,city
35,Lo Barnechea,city
36,Lo Barnechea,city
37,Colina,city
38,La Reina,suburb
39,Las Condes,city
40,Providencia,city
41,Lo Barnechea,city
42,Peñalolén,city
43,Colina,city
44,Vitacura,city
45,Las Condes,city
46,Lo Barnechea,city
47,Lo Barnechea,city
48,Lo Barnechea,city
49,Providencia,city
50,Vitacura,city
51,Las Condes,city
52,Colina,city
53,Las Condes,city
54,Ñuñoa,city
55,Las Condes,city
56,Lo Barnechea,city
57,Peñalolén,city
58,Las Condes,city
59,Lo Barnechea,city
60,Lo Barnechea,city
61,Las Condes,city
62,Vitacura,city
63,Las Condes,city
64,Las Condes,city
65,Las Condes,city
66,Peñalolén,city
67,Lo Barnechea,city
68,Concepción,city
69,Lo Barnechea,city
70,Coquimbo,city
71,Providencia,city
72,Las Condes,city
73,Las Condes,city
74,Providencia,city
75,Colina,city
76,Vitacura,city
77,Las Condes,city
78,Colina,city
79,Providencia,city
80,Chiguayante,town
81,Las Condes,city
82,Las Condes,city
83,Providencia,city
84,Lo Barnechea,city
85,Las Condes,city
86,La Reina,neighbourhood
87,Las Condes,city
88,Lo Barnechea,city
89,Las Condes,city
90,Huechuraba,city
91,Providencia,city
92,Las Condes,city
93,Las Condes,city
94,Las Condes,city
95,Lo Barnechea,city
96,Coquimbo,city
97,Colina,city
98,Colina,city
99,Vitacura,city
100,Vitacura,city
101,Vitacura,city
102,Vitacura,city
103,Ñuñoa,city
104,Talcahuano,city
105,Las Condes,city
106,Vitacura,city
107,Providencia,city
108,Vitacura,city
109,Lo Barnechea,city
110,Concón,town
111,Lo Barnechea,city
112,Las Condes,city
113,Colina,city
114,Lo Barnechea,city
115,Colina,city
116,Lo Barnechea,city
117,Puente Alto,suburb
118,Vitacura,city
119,Viña del Mar,city
120,Santiago,city
121,La Reina,neighbourhood
122,La Florida,city
123,Las Condes,city
124,Las Condes,city
125,Providencia,city
126,Colina,city
127,Concón,town
128,Valparaíso,city
129,Talcahuano,city
130,Coquimbo,city
131,Vitacura,city
132,Las Condes,city
133,Renca,city
134,Vitacura,city
135,Lo Barnechea,city
136,Providencia,city
137,Vitacura,city
138,Las Condes,city
139,Ñuñoa,city
140,Vitacura,city
141,Vitacura,city
142,Las Condes,city
143,Lo Barnechea,city
144,Huechuraba,city
145,Providencia,city
146,Lo Barnechea,city
147,Colina,city
148,Las Condes,city
149,Las Condes,city
150,Las Condes,city
151,Colina,city
152,Las Condes,city
153,Las Condes,city
154,Colina,city
155,Las Condes,city
